filter,source_rate_hz,output_rate_hz,frequency_hz,magnitude_db,absolute_group_delay_ms,group_delay_relative_to_peak_ms
SplitPhase128kE2v3,44100,176400,6100.000,-0.00000008,2972.22601819,-0.01321083
SplitPhase128kE2v3,44100,176400,6200.000,-0.00000008,2972.22584038,-0.01338865
SplitPhase128kE2v3,44100,176400,6300.000,-0.00000008,2972.22568012,-0.01354890
SplitPhase128kE2v3,44100,176400,6400.000,-0.00000008,2972.22553773,-0.01369129
SplitPhase128kE2v3,44100,176400,6500.000,-0.00000008,2972.22541329,-0.01381574
SplitPhase128kE2v3,44100,176400,6600.000,-0.00000008,2972.22530683,-0.01392220
SplitPhase128kE2v3,44100,176400,6700.000,-0.00000007,2972.22521840,-0.01401063
SplitPhase128kE2v3,44100,176400,6800.000,-0.00000008,2972.22514793,-0.01408110
SplitPhase128kE2v3,44100,176400,6900.000,-0.00000008,2972.22509539,-0.01413363
SplitPhase128kE2v3,44100,176400,7000.000,-0.00000008,2972.22506054,-0.01416849
SplitPhase128kE2v3,44100,176400,7100.000,-0.00000008,2972.22504329,-0.01418573
SplitPhase128kE2v3,44100,176400,7200.000,-0.00000008,2972.22504349,-0.01418553
SplitPhase128kE2v3,44100,176400,7300.000,-0.00000008,2972.22506097,-0.01416806
SplitPhase128kE2v3,44100,176400,7400.000,-0.00000008,2972.22509558,-0.01413344
SplitPhase128kE2v3,44100,176400,7500.000,-0.00000008,2972.22514720,-0.01408182
SplitPhase128kE2v3,44100,176400,7600.000,-0.00000008,2972.22521564,-0.01401338
SplitPhase128kE2v3,44100,176400,7700.000,-0.00000008,2972.22530087,-0.01392816
SplitPhase128kE2v3,44100,176400,7800.000,-0.00000008,2972.22540265,-0.01382638
SplitPhase128kE2v3,44100,176400,7900.000,-0.00000008,2972.22552080,-0.01370823
SplitPhase128kE2v3,44100,176400,8000.000,-0.00000008,2972.22565504,-0.01357398
SplitPhase128kE2v3,44100,176400,8100.000,-0.00000008,2972.22580510,-0.01342392
SplitPhase128kE2v3,44100,176400,8200.000,-0.00000008,2972.22597064,-0.01325839
SplitPhase128kE2v3,44100,176400,8300.000,-0.00000008,2972.22615127,-0.01307776
SplitPhase128kE2v3,44100,176400,8400.000,-0.00000008,2972.22634651,-0.01288252
SplitPhase128kE2v3,44100,176400,8500.000,-0.00000008,2972.22655635,-0.01267267
SplitPhase128kE2v3,44100,176400,8600.000,-0.00000008,2972.22678038,-0.01244864
SplitPhase128kE2v3,44100,176400,8700.000,-0.00000008,2972.22701836,-0.01221066
SplitPhase128kE2v3,44100,176400,8800.000,-0.00000008,2972.22727016,-0.01195887
SplitPhase128kE2v3,44100,176400,8900.000,-0.00000008,2972.22753559,-0.01169343
SplitPhase128kE2v3,44100,176400,9000.000,-0.00000008,2972.22781457,-0.01141445
SplitPhase128kE2v3,44100,176400,9100.000,-0.00000008,2972.22810668,-0.01112234
SplitPhase128kE2v3,44100,176400,9200.000,-0.00000008,2972.22841226,-0.01081676
SplitPhase128kE2v3,44100,176400,9300.000,-0.00000008,2972.22873078,-0.01049824
